Age,Gender,Country,City,Membership_Years,Login_Frequency,Session_Duration_Avg,Pages_Per_Session,Cart_Abandonment_Rate,Wishlist_Items,Total_Purchases,Average_Order_Value,Days_Since_Last_Purchase,Discount_Usage_Rate,Returns_Rate,Email_Open_Rate,Customer_Service_Calls,Product_Reviews_Written,Social_Media_Engagement_Score,Mobile_App_Usage,Payment_Method_Diversity,Lifetime_Value,Credit_Balance,Churned,Signup_Quarter
56,Female,USA,New York,2.6,10,38.4,14.8,41.7,9,15,147.33,47,44.1,5.4,41.4,2,5,85.9,31,3,2340.92,2674,0,Q1
35,Male,India,Delhi,3.1,29,51.4,,19.1,9,32.5,141.3,73,25.2,5.5,37.9,1,11,83,50.4,4,3041.29,5354,0,Q4
47,Female,USA,Houston,1.6,14,24.1,8.3,59.9,2,13,161.98,6,77.16,6.3,5.5,5,,30.1,7.6,2,1394.04,2274,0,Q4
44,Male,USA,New York,3.6,13,31.3,5.4,62.6,3,9,90.95,38,65.5,,11.7,2,1,13.5,21.5,2,807.84,977,0,Q2
40,Female,USA,Phoenix,7.1,10,19.2,7,69.1,6,10,123.99,38,59,1.9,9.6,4,,17.7,,4,1229.94,2446,0,Q1
18,Female,USA,Phoenix,3.1,13,26.1,8.9,47.7,2,11,107.58,3,22.9,0.2,19,8,4,,21.5,3,1083.91,2772,1,Q3
31,Female,USA,New York,1.4,24,50.8,18,44,5,18,91.92,55,83.8,2.5,45,4,5,81.6,26.5,1,1692.54,2564,0,Q3
41,Male,USA,Los Angeles,0.7,5,19.5,5.3,68,2,14.3,107.78,20,,8,1.2,4,,0,13.4,1,1356.93,1924,0,Q4
27,Female,India,Bangalore,2,0,20.3,9.8,59.8,2,11,103.12,5,6.5,18.6,12.5,4,0,3.4,17.5,3,1096.88,54,0,Q2
55,Female,India,Bangalore,1.2,24,50.3,16,25.2,9,24,108.52,4,33,11.6,72.1,1,5,76.7,37.8,1,3063.29,4561,0,Q1
35,Male,USA,New York,4.7,6,14.4,6.5,80.9,,6.5,118.84,32,35.04,9.5,19.9,8,1,3.3,2.9,1,644.58,,1,Q4
20,Female,USA,Los Angeles,2.7,27,49.7,14.4,29.3,11,20,136.08,81,19.4,0.1,43,2,9,65.3,37.3,2,3014.34,1725,1,Q3
42,Male,USA,Phoenix,0.4,17,34.6,8.5,48.7,8,12,131.02,16,45.5,7.5,21.2,3,3,24.4,21.3,1,1709.74,3002,0,Q2
40,Male,USA,Phoenix,1.5,24,31.7,17,50,,15,146.79,51,65.8,4.1,26.3,5,6,80.9,20.1,4,2433.74,427,0,Q1
22,Male,USA,Los Angeles,0.7,13,35,11.4,47.7,7,15.6,118.2,21,10.8,11,26,4,5,,29.3,5,1671.72,2021,1,Q4
40,Male,USA,Phoenix,3.2,18,27,9.9,51.5,1,11,145.04,68,62,7.9,0,1,1,27.2,7.5,2,1506.54,2966,0,Q3
36,Male,USA,Chicago,1.4,0,33,5.1,75.1,4,6,199.48,43,47.8,2.1,11.6,6,1,23.9,19.9,3,1133.62,1416,0,Q2
29,Female,USA,Los Angeles,4.4,14,22.7,8.6,35.2,5,14,121.7,1,9.3,8.3,3.4,5,4,35,24.3,3,1851.75,1098,0,Q3
50,Female,USA,New York,3,0,26.8,,78.4,1,16.9,68.54,3,45.84,6.4,16.7,6,1,29.8,14.8,2,837.92,442,0,Q4
18,Male,USA,New York,0.4,14,35.9,13.2,51.9,5,16,169.79,22,26.7,4.4,38.9,4,3,41,28.2,3,3156.4,2965,1,Q2
33,Male,India,Mumbai,1.4,0,33.6,6.9,64,4,8,101.11,32,26,1.4,8,4,2,2,,1,692.85,1165,0,Q2
50,Female,USA,Los Angeles,4.8,15,33.9,,34.6,8,15,69.44,47,23.6,9.5,18.1,8,4,56.1,34.8,2,1059.04,2319,0,Q1
49,Female,USA,Houston,1.8,0,13.2,5.8,58.6,1,10,198.35,94,,10.9,11.9,9,2,0.9,6.6,4,2134.96,0,1,Q1
41,Female,USA,New York,3.6,17,20.4,9.5,51.4,1,10.4,60.9,7,,5.1,3.2,4,2,19.6,19.7,1,392.62,1704,0,Q4
49,Male,USA,Houston,2.1,18,46.9,14.9,45.4,9,29.9,51.36,3,22.08,1.3,22.9,6,2,25.2,25.6,2,1156.03,2612,0,Q4
35,Male,USA,Phoenix,1.7,5,20.8,6.9,70.2,3,8,142.89,9,62.2,,22,7,3,47.2,12.8,2,1125.37,21,0,Q3
47,Female,USA,Phoenix,4.8,16,45.7,12.7,41.7,7,20,102.42,14,,,48.3,3,4,29.8,32.9,2,1717.65,4181,0,Q3
37,Male,USA,Phoenix,3.8,6,32.8,10.5,51.2,7,13,119.3,6,16.9,16.6,8.8,7,4,48.4,10.9,1,1333.02,1,0,Q3
50,Male,USA,Chicago,1.9,19,33.3,13,27.4,8,19.5,141.59,18,32.04,13.1,32,5,5,42.7,,1,2051.75,2366,0,Q4
37,Male,India,Hyderabad,4.3,7,19.2,7.8,59.8,4,16,107.13,12,33.2,3.3,38.5,7,,40.7,19,3,1438.14,3446,0,Q3
56,Male,India,Chennai,2.6,6,22.9,5.9,62.8,2,11.7,82.54,,30.84,9.7,29.2,7,4,45.5,6.8,3,619.33,2499,0,Q4
47,Male,USA,Chicago,0.9,5,11.2,1,63.2,0,5,171.12,36,36.6,1,0,3,0,16.4,4,2,716,1903,1,Q2
39,Male,USA,Chicago,9.3,12,23.5,9.5,78.3,6,10,63.25,3,35.8,2.7,31.4,5,4,23.2,21.8,2,636.69,1636,0,Q2
55,Male,USA,New York,5.3,18,42.1,9.5,62,8,24.7,108.17,74,61.92,1.9,41.7,4,5,36.6,29.4,4,1807.29,3579,0,Q4
48,Male,USA,Chicago,6.3,21,26,12.3,65.8,1,12,103.08,61,,5.5,18.9,5,3,,13.3,2,1129.4,4115,0,Q1
41,Male,USA,Chicago,3.4,23,44.6,14.2,46.8,5,15,111.93,48,25.1,17,39.2,4,1,35.2,27.8,1,1862.75,2442,0,Q3
31,Female,USA,Chicago,1.2,32,37.1,14.8,46.3,5,19,142.42,,28,2.9,32.6,5,5,,,3,2893.2,2134,0,Q2
,Male,USA,New York,3.2,19,34,11.3,30.7,7,12,180.46,51,8.3,6.8,55,6,5,35.9,29.2,1,2106.27,1298,1,Q3
20,Female,India,Bangalore,2.7,9,27.6,9.9,50.2,6,20.8,62.59,22,98.4,2.4,,2,3,44.6,16.6,3,1131.39,3169,0,Q4
41,Female,USA,Los Angeles,2.3,5,16.5,,90.2,2,4,143.98,30,5.2,,,4,0,0,4.7,5,622.44,218,1,Q2
38,Female,USA,Houston,2.5,18,34.4,12.7,45.7,5,19.5,241.2,13,101.52,12.1,28.1,8,3,45.6,25.2,1,3184.95,798,1,Q4
21,Male,USA,New York,1.5,0,11.6,5.4,80.8,3,8,136.82,,68.8,2.1,2.2,4,1,28.6,18.6,2,1212.35,1015,0,Q2
33,Male,USA,Los Angeles,6.6,27,48.5,13.5,54.8,7,18,110.49,,4.9,0.6,30.7,3,6,14.8,23.2,1,2159.92,4225,0,Q2
28,Female,USA,Los Angeles,5.3,0,26.8,5.7,82.7,0,4,106.8,1,,1.5,0,9,1,0,11.9,3,402.08,,1,Q3
42,Male,USA,Chicago,3.4,7,25.9,12.2,62.5,4,10,150.38,24,71.3,7,23.3,2,2,4.7,18.9,2,1345.57,2656,0,Q2
60,Female,India,Chennai,7.7,29,42.3,,4.9,5,21,138.26,3,29.8,6.5,44.9,3,4,57.5,30.1,,2917.77,2515,0,Q2
40,Female,USA,Phoenix,4.4,5,15.5,7.1,63.2,2,9.1,92.11,108,66.48,6.4,4.8,4,1,2.7,,3,769.57,691,1,Q4
37,Male,India,Bangalore,0.9,16,34.4,12.1,36.9,5,15,102.98,23,,9.5,19.7,7,2,,19.4,2,1339.59,1335,0,Q2
37,Female,USA,Chicago,4.1,13,36.1,10.4,48,4,13,100.29,76,18.1,18.7,39.3,5,4,59.8,27.7,2,1082.06,2598,0,Q2
41,Male,India,Bangalore,2.7,6,11.6,4,76.2,1,6,76.52,3,20.1,4.2,0,5,,22.8,13.3,5,456.07,862,0,Q2
37,Male,USA,Los Angeles,1,4,18.4,4.9,65.5,,16,114.63,23,54,7.6,0,5,4,34.2,8.8,3,1849.5,0,0,Q3
